AÑO;DISTRITO;BARRIO;Total;España;Unión Europea (15);Unión Europea (ampliación a 28);Resto países OCDE;Otros países de Europa;Otros países de América Latina;África;Otros países de Asia y Australasia
2017;05. Chamartín;055. Nueva España;259;243;5;0;2;1;3;4;1
2017;05. Chamartín;056. Castilla;160;149;3;0;1;0;7;0;0
2017;06. Tetuán;06. Tetuán;1.422;1.075;21;23;14;4;171;40;74
2017;06. Tetuán;061. Bellas Vistas;251;186;1;3;3;0;39;5;14
2017;06. Tetuán;062. Cuatro Caminos;307;252;8;4;4;2;18;4;15
2017;06. Tetuán;063. Castillejos;195;161;3;2;2;0;12;3;12
2017;06. Tetuán;064. Almenara;189;147;2;3;4;0;18;6;9
2017;06. Tetuán;065. Valdeacederas;256;182;3;6;1;1;44;12;7
2017;06. Tetuán;066. Berruguete;224;147;4;5;0;1;40;10;17
2017;07. Chamberí;07. Chamberí;1.174;1.054;32;11;12;1;38;6;20
2017;07. Chamberí;071. Gaztambide;169;151;3;1;2;0;4;0;8
2017;07. Chamberí;072. Arapiles;188;165;5;1;1;0;10;0;6
2017;07. Chamberí;073. Trafalgar;210;181;6;7;3;0;7;2;4
2017;07. Chamberí;074. Almagro;183;167;6;0;3;1;4;2;0
2017;07. Chamberí;075. Ríos Rosas;272;246;9;1;2;0;10;2;2
2017;07. Chamberí;076. Vallehermoso;152;144;3;1;1;0;3;0;0
2017;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;2.589;2.363;34;39;11;4;80;25;33
2017;08. Fuencarral-El Pardo;081. El Pardo;26;25;0;0;0;0;1;0;0
2017;08. Fuencarral-El Pardo;082. Fuentelarreina;24;22;0;0;0;0;2;0;0
2017;08. Fuencarral-El Pardo;083. Peñagrande;348;308;5;10;2;0;16;5;2
2017;08. Fuencarral-El Pardo;084. Pilar;349;295;1;14;0;2;23;3;11
2017;08. Fuencarral-El Pardo;085. La Paz;270;252;1;2;3;1;2;5;4
2017;08. Fuencarral-El Pardo;086. Valverde;877;797;16;10;3;1;25;10;15
2017;08. Fuencarral-El Pardo;087. Mirasierra;373;362;5;0;3;0;2;1;0
2017;08. Fuencarral-El Pardo;088. El Goloso;322;302;6;3;0;0;9;1;1
2017;09. Moncloa-Aravaca;09. Moncloa-Aravaca;941;847;9;18;2;4;38;10;13
2017;09. Moncloa-Aravaca;091. Casa de Campo;92;84;1;1;0;0;3;0;3
2017;09. Moncloa-Aravaca;092. Argüelles;183;167;3;4;1;2;2;2;2
2017;09. Moncloa-Aravaca;093. Ciudad Universitaria;102;95;1;0;1;0;3;2;0
2017;09. Moncloa-Aravaca;094. Valdezarza;234;200;2;6;0;1;16;4;5
2017;09. Moncloa-Aravaca;095. Valdemarín;73;66;0;0;0;0;6;1;0
2017;09. Moncloa-Aravaca;096. El Plantío;24;23;0;0;0;0;0;1;0
2017;09. Moncloa-Aravaca;097. Aravaca;233;212;2;7;0;1;8;0;3
2017;10. Latina;10. Latina;1.779;1.355;14;87;6;32;203;36;44
2017;10. Latina;101. Los Cármenes;143;113;0;2;0;2;18;5;3
2017;10. Latina;102. Puerta del Ángel;345;243;6;10;3;5;52;7;19
2017;10. Latina;103. Lucero;250;195;1;12;1;3;30;2;5
2017;10. Latina;104. Aluche;460;334;1;32;2;13;54;10;13
2017;10. Latina;105. Campamento;156;114;3;10;0;1;23;4;1
2017;10. Latina;106. Cuatro Vientos;81;78;0;1;0;0;1;1;0
2017;10. Latina;107. Águilas;344;278;3;20;0;8;25;7;3
2017;11. Carabanchel;11. Carabanchel;2.143;1.613;17;88;7;15;265;70;65
2017;11. Carabanchel;111. Comillas;181;136;2;8;0;1;22;7;5
2017;11. Carabanchel;112. Opañel;292;219;3;9;1;1;41;5;13
2017;11. Carabanchel;113. San Isidro;336;256;4;11;0;2;38;14;11
2017;11. Carabanchel;114. Vista Alegre;345;239;2;17;2;2;53;11;18
2017;11. Carabanchel;115. Puerta Bonita;286;192;2;22;1;3;44;12;9
2017;11. Carabanchel;116. Buenavista;465;391;1;15;3;2;29;20;4
2017;11. Carabanchel;117. Abrantes;238;180;3;6;0;4;38;1;5
2017;12. Usera;12. Usera;1.249;869;6;38;1;4;150;36;145
2017;12. Usera;121. Orcasitas;184;161;1;5;0;0;6;4;7
2017;12. Usera;122. Orcasur;140;111;1;4;0;1;9;4;10
2017;12. Usera;123. San Fermín;167;120;3;7;1;2;11;9;14
2017;12. Usera;124. Almendrales;208;140;0;3;0;0;28;7;30
2017;12. Usera;125. Moscardó;248;155;1;8;0;1;46;5;32
2017;12. Usera;126. Zofío;116;77;0;6;0;0;18;6;9
2017;12. Usera;127. Pradolongo;186;105;0;5;0;0;32;1;43
2017;13. Puente de Vallecas;13. Puente de Vallecas;2.047;1.553;18;82;3;16;202;110;63
2017;13. Puente de Vallecas;131. Entrevías;281;229;1;14;0;1;25;8;3
2017;13. Puente de Vallecas;132. San Diego;457;293;5;18;2;7;66;47;19
2017;13. Puente de Vallecas;133. Palomeras Bajas;294;227;2;8;0;3;25;13;16
2017;13. Puente de Vallecas;134. Palomeras Sureste;377;322;4;13;0;3;20;7;8
2017;13. Puente de Vallecas;135. Portazgo;234;195;2;11;0;0;16;6;4
2017;13. Puente de Vallecas;136. Numancia;404;287;4;18;1;2;50;29;13
2017;14. Moratalaz;14. Moratalaz;606;515;4;16;1;0;48;11;11
2017;14. Moratalaz;141. Pavones;49;42;1;0;0;0;5;1;0
2017;14. Moratalaz;142. Horcajo;41;38;1;0;0;0;0;1;1
2017;14. Moratalaz;143. Marroquina;133;116;1;3;0;0;8;0;5
2017;14. Moratalaz;144. Media Legua;127;111;0;2;1;0;12;1;0
2017;14. Moratalaz;145. Fontarrón;141;111;1;4;0;0;17;4;4
2017;14. Moratalaz;146. Vinateros;115;97;0;7;0;0;6;4;1
2017;15. Ciudad Lineal;15. Ciudad Lineal;1.698;1.355;27;61;4;6;178;21;44
2017;15. Ciudad Lineal;151. Ventas;388;291;5;21;1;3;53;8;6
2017;15. Ciudad Lineal;152. Pueblo Nuevo;482;371;4;17;0;2;69;4;15
2017;15. Ciudad Lineal;153. Quintana;187;139;3;4;0;0;30;3;8
2017;15. Ciudad Lineal;154. Concepción;155;113;2;14;3;1;11;3;8
2017;15. Ciudad Lineal;155. San Pascual;125;107;3;4;0;0;6;1;4
2017;15. Ciudad Lineal;156. San Juan Bautista;125;115;4;1;0;0;2;0;3
2017;15. Ciudad Lineal;157. Colina;57;52;1;0;0;0;2;0;0
2017;15. Ciudad Lineal;158. Atalaya;20;14;1;0;0;0;3;2;0
2017;15. Ciudad Lineal;159. Costillares;159;153;4;0;0;0;2;0;0
2017;16. Hortaleza;16. Hortaleza;1.966;1.763;40;29;11;8;62;17;36
2017;16. Hortaleza;161. Palomas;45;39;1;2;0;1;0;1;1
2017;16. Hortaleza;162. Piovera;128;116;6;0;1;1;2;1;1
2017;16. Hortaleza;163. Canillas;300;258;8;12;1;0;13;4;4
2017;16. Hortaleza;164. Pinar del Rey;398;346;4;9;2;3;22;3;9
2017;16. Hortaleza;165. Apóstol Santiago;105;86;3;3;0;0;6;1;6
2017;16. Hortaleza;166. Valdefuentes;990;918;18;3;7;3;19;7;15
2017;17. Villaverde;17. Villaverde;1.436;1.017;4;68;1;28;129;147;42
2017;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;455;328;2;26;0;6;31;46;16
2017;17. Villaverde;172. San Cristóbal;208;132;0;3;0;2;22;41;8
2017;17. Villaverde;173. Butarque;225;170;1;15;0;5;19;14;1
2017;17. Villaverde;174. Los Rosales;324;223;1;16;0;9;29;34;12
2017;17. Villaverde;175. Ángeles;224;164;0;8;1;6;28;12;5
2017;18. Villa de Vallecas;18. Villa de Vallecas;1.492;1.325;5;52;1;7;43;44;15
2017;18. Villa de Vallecas;181. Casco Histórico de Vallecas;408;324;1;19;0;4;19;34;7
2017;18. Villa de Vallecas;182. Santa Eugenia;176;144;0;22;0;0;9;1;0
2017;18. Villa de Vallecas;183. Ensanche de Vallecas;908;857;4;11;1;3;15;9;8
2017;19. Vicálvaro;19. Vicálvaro;585;481;2;38;1;6;26;24;7
2017;19. Vicálvaro;191. Casco Histórico de Vicálvaro;289;204;2;32;0;5;17;23;6
2017;19. Vicálvaro;192. Valdebernardo;105;92;0;4;0;0;7;1;1
