AÑO;DISTRITO;Total Actividades;Campamentos;Cesión de salas de ensayo;Cesión de otros espacios para ensayo;Cine;Conciertos/Actuaciones musicales;Concursos/Certámenes;Conferencias;Congresos/Clases magistrales/Jornadas;Danza;Exposiciones;Q-date;Ludotecas;Recitales poéticos;Teatro;Autorización/Utilización de espacios;Festivales/Ciclos y Jornadas
2021;19. Vicálvaro;736;14;-;-;2;37;3;7;-;8;18;0;6;0;40;597;4
2021;20. San Blas-Canillejas;632;0;-;-;45;125;0;20;-;15;53;0;0;0;158;207;9
2021;21. Barajas;692;0;-;-;0;37;4;47;-;3;60;0;0;8;31;476;26
2018;Ciudad de Madrid;7.101;53;-;-;357;852;28;309;-;126;260;63;743;15;1.295;2.810;190
2018;01. Centro;272;0;-;-;1;6;0;8;-;4;0;0;2;0;16;234;1
2018;02. Arganzuela;159;0;-;-;32;11;1;4;-;1;10;0;7;0;1;90;2
2018;03. Retiro;280;3;-;-;22;35;3;13;-;8;14;0;0;4;70;106;2
2018;04. Salamanca;351;0;-;-;0;37;0;57;-;7;17;0;0;4;45;177;7
2018;05. Chamartín;191;0;-;-;10;31;0;26;-;5;4;0;0;0;50;22;43
2018;06. Tetuán;305;0;-;-;18;67;4;23;-;16;23;0;17;0;64;65;8
2018;07. Chamberí;335;1;-;-;0;34;1;14;-;0;7;0;0;0;210;64;4
2018;08. Fuencarral-El Pardo;813;18;-;-;8;65;0;46;-;3;12;3;327;1;233;69;28
2018;09. Moncloa-Aravaca;76;0;-;-;0;26;1;1;-;6;12;0;0;0;21;5;4
2018;10. Latina;1.089;21;-;-;9;171;5;1;-;22;41;0;353;3;97;320;46
2018;11. Carabanchel;239;0;-;-;80;43;2;10;-;4;5;0;15;0;51;17;12
2018;12. Usera;1.095;0;-;-;2;6;0;4;-;0;10;0;10;0;31;1.029;3
2018;13. Puente de Vallecas;236;0;-;-;12;93;0;9;-;7;8;0;0;0;49;56;2
2018;14. Moratalaz;183;2;-;-;20;6;8;19;-;2;5;0;1;0;9;111;0
2018;15. Ciudad Lineal;179;0;-;-;6;33;0;2;-;6;5;0;0;0;26;101;0
2018;16. Hortaleza;210;0;-;-;8;66;0;6;-;2;18;60;6;0;44;0;0
2018;17. Villaverde;250;1;-;-;38;28;0;34;-;9;23;0;2;3;37;71;4
2018;18. Villa de Vallecas;124;0;-;-;12;10;0;26;-;0;8;0;0;0;45;12;11
2018;19. Vicálvaro;144;7;-;-;1;17;1;3;-;2;7;0;3;0;24;79;0
2018;20. San Blas-Canillejas;394;0;-;-;78;54;0;2;-;22;21;0;0;0;135;82;0
2018;21. Barajas;176;0;-;-;0;13;2;1;-;0;10;0;0;0;37;100;13
2019;Ciudad de Madrid;9.678;32;-;-;471;1.268;27;453;-;188;406;266;819;99;1.724;3.697;228
2019;01. Centro;87;0;-;-;0;7;0;14;-;0;0;0;2;2;18;30;14
2019;02. Arganzuela;295;0;-;-;38;45;3;6;-;5;20;0;25;1;34;115;3
2019;03. Retiro;417;1;-;-;19;43;2;36;-;11;23;0;2;4;85;187;4
2019;04. Salamanca;314;0;-;-;1;51;0;68;-;9;33;0;0;4;48;93;7
2019;05. Chamartín;263;0;-;-;9;85;2;33;-;4;2;0;24;0;61;9;34
2019;06. Tetuán;371;0;-;-;27;77;1;19;-;31;33;0;3;0;99;74;7
2019;07. Chamberí;144;0;-;-;5;46;1;7;-;0;6;0;0;0;63;14;2
2019;08. Fuencarral-El Pardo;1.036;18;-;-;16;76;0;50;-;7;15;260;310;2;197;42;43
2019;09. Moncloa-Aravaca;171;0;-;-;11;49;3;0;-;10;13;0;0;3;60;20;2
2019;10. Latina;1.484;0;-;-;8;224;7;11;-;38;59;1;411;4;163;532;26
2019;11. Carabanchel;448;0;-;-;90;65;2;12;-;3;11;0;14;0;203;24;24
2019;12. Usera;1.251;0;-;-;38;2;0;4;-;3;11;0;12;69;29;1.070;13
2019;13. Puente de Vallecas;580;0;-;-;32;145;0;26;-;11;19;0;0;6;63;274;4
2019;14. Moratalaz;136;1;-;-;23;13;2;41;-;11;6;0;0;0;10;29;0
2019;15. Ciudad Lineal;301;0;-;-;8;78;0;0;-;10;14;0;0;0;82;89;20
2019;16. Hortaleza;515;0;-;-;37;85;2;14;-;6;37;5;6;0;198;120;5
2019;17. Villaverde;925;2;-;-;28;24;0;38;-;14;30;0;0;2;37;744;6
2019;18. Villa de Vallecas;149;0;-;-;10;25;0;40;-;1;11;0;0;2;53;7;0
2019;19. Vicálvaro;175;10;-;-;3;39;1;5;-;4;13;0;10;0;48;41;1
2019;20. San Blas-Canillejas;415;0;-;-;68;83;0;6;-;10;44;0;0;0;127;74;3
2019;21. Barajas;201;0;-;-;0;6;1;23;-;0;6;0;0;0;46;109;10
