AÑO;DISTRITO;BARRIO;Censo electoral;Abstención;Votos nulos;Votos blancos;Votos a candidaturas;PACMA;Ciudadanos;PSOE;PH;PCTE;PCPE;PUM+J;PACT;VOX;PODEMOS-IUEQUO;PP;RECORTES CERO-GV-PCAS-TC;PODEMOS-IU;MÁS PAÍS-EQUO
2019;09. Moncloa-Aravaca;096. El Plantío;1.951;358;5;10;1.578;3;129;151;1;0;0;0;-;407;-;784;2;60;41
2019;09. Moncloa-Aravaca;097. Aravaca;18.828;3.245;39;112;15.432;60;1.492;2.469;8;4;6;7;-;3.296;-;6.245;10;1.009;826
2019;10. Latina;10. Latina;174.627;47.435;982;904;125.306;1.050;9.208;36.928;114;97;89;183;-;19.161;-;31.591;199;18.835;7.851
2019;10. Latina;101. Los Cármenes;12.543;3.889;47;61;8.546;57;649;2.657;11;9;7;10;-;1.372;-;1.673;13;1.443;645
2019;10. Latina;102. Puerta del Ángel;29.473;9.244;137;134;19.958;179;1.392;5.771;15;14;17;28;-;2.820;-;4.598;35;3.578;1.511
2019;10. Latina;103. Lucero;25.994;7.468;137;140;18.249;147;1.316;5.425;6;12;13;23;-;2.664;-;4.420;21;3.008;1.194
2019;10. Latina;104. Aluche;49.219;12.501;321;265;36.132;291;2.595;10.799;43;29;25;48;-;5.023;-;10.341;53;4.860;2.025
2019;10. Latina;105. Campamento;13.515;3.456;81;66;9.912;91;734;2.262;8;5;7;24;-;2.085;-;3.040;17;1.144;495
2019;10. Latina;106. Cuatro Vientos;4.046;1.069;24;27;2.926;26;334;758;4;9;1;2;-;576;-;542;3;444;227
2019;10. Latina;107. Águilas;39.837;9.808;235;211;29.583;259;2.188;9.256;27;19;19;48;-;4.621;-;6.977;57;4.358;1.754
2019;11. Carabanchel;11. Carabanchel;171.865;54.238;941;832;115.854;951;8.680;36.194;95;84;76;150;-;17.994;-;26.026;212;17.954;7.438
2019;11. Carabanchel;111. Comillas;16.283;4.985;90;73;11.135;72;775;3.226;5;9;7;18;-;1.653;-;2.760;18;1.807;785
2019;11. Carabanchel;112. Opañel;22.800;6.978;124;120;15.578;118;1.151;4.759;10;7;11;19;-;2.280;-;3.742;18;2.413;1.050
2019;11. Carabanchel;113. San Isidro;26.860;9.257;169;112;17.322;181;1.189;5.596;9;16;8;24;-;2.492;-;3.658;35;2.986;1.128
2019;11. Carabanchel;114. Vista Alegre;31.153;10.025;188;127;20.813;159;1.422;6.416;20;23;15;26;-;3.187;-;5.272;51;3.021;1.201
2019;11. Carabanchel;115. Puerta Bonita;22.700;8.038;95;82;14.485;124;1.037;4.846;15;8;10;18;-;2.286;-;3.051;25;2.206;859
2019;11. Carabanchel;116. Buenavista;31.763;8.263;178;224;23.098;201;2.168;6.947;20;18;14;26;-;3.846;-;4.608;42;3.586;1.622
2019;11. Carabanchel;117. Abrantes;20.306;6.692;97;94;13.423;96;938;4.404;16;3;11;19;-;2.250;-;2.935;23;1.935;793
2019;12. Usera;12. Usera;90.284;31.487;480;412;57.905;573;4.002;20.763;69;57;51;61;-;8.568;-;10.508;115;9.466;3.672
2019;12. Usera;121. Orcasitas;16.939;4.949;97;92;11.801;144;874;4.410;16;10;10;11;-;1.743;-;1.661;16;2.035;871
2019;12. Usera;122. Orcasur;9.564;3.819;68;33;5.644;68;380;2.222;9;8;5;2;-;911;-;785;4;924;326
2019;12. Usera;123. San Fermín;15.212;5.166;84;83;9.879;77;735;3.573;10;8;9;14;-;1.597;-;1.685;22;1.540;609
2019;12. Usera;124. Almendrales;13.052;4.879;70;58;8.045;75;573;2.833;7;6;6;7;-;1.157;-;1.657;11;1.199;514
2019;12. Usera;125. Moscardó;16.684;5.513;80;64;11.027;101;742;3.506;11;18;7;10;-;1.614;-;2.514;24;1.784;696
2019;12. Usera;126. Zofío;9.110;3.133;26;47;5.904;53;381;2.155;8;1;8;7;-;741;-;1.060;22;1.109;359
2019;12. Usera;127. Pradolongo;9.723;4.028;55;35;5.605;55;317;2.064;8;6;6;10;-;805;-;1.146;16;875;297
2019;13. Puente de Vallecas;13. Puente de Vallecas;164.788;55.818;868;693;107.409;1.142;6.317;40.306;110;107;112;144;-;13.171;-;15.155;195;23.409;7.241
2019;13. Puente de Vallecas;131. Entrevías;24.860;9.179;114;94;15.473;172;771;6.520;18;11;11;16;-;2.006;-;1.684;23;3.392;849
2019;13. Puente de Vallecas;132. San Diego;25.227;10.147;147;101;14.832;176;809;5.656;14;15;24;32;-;1.851;-;2.085;44;3.167;959
2019;13. Puente de Vallecas;133. Palomeras Bajas;29.667;8.323;174;141;21.029;196;1.298;7.324;21;26;25;30;-;2.236;-;2.835;29;5.240;1.769
2019;13. Puente de Vallecas;134. Palomeras Sureste;31.964;9.781;159;142;21.882;235;1.457;8.431;20;22;20;19;-;2.700;-;2.787;39;4.640;1.512
2019;13. Puente de Vallecas;135. Portazgo;20.756;7.112;98;87;13.459;140;716;5.066;7;20;12;15;-;1.677;-;2.079;23;2.877;827
2019;13. Puente de Vallecas;136. Numancia;32.314;11.276;176;128;20.734;223;1.266;7.309;30;13;20;32;-;2.701;-;3.685;37;4.093;1.325
2019;14. Moratalaz;14. Moratalaz;74.828;18.879;400;420;55.129;408;4.493;16.476;33;22;30;80;-;7.555;-;14.388;69;8.057;3.518
2019;14. Moratalaz;141. Pavones;7.070;1.914;37;47;5.072;40;428;1.756;4;2;2;3;-;667;-;1.008;7;792;363
2019;14. Moratalaz;142. Horcajo;4.886;1.090;24;42;3.730;25;455;1.056;3;1;2;7;-;541;-;795;4;540;301
