AÑO;DISTRITO;Total Población;% de 0 a 15 años;% de 16 a 64 años;% de 65 años y más;% de 80 años y más;Razón de juventud;Razón de reemplazamiento;Razón de progresividad;Edad promedio;Desviación típica;Crecimiento vegetativo / Tasa de natalidad;Crecimiento vegetativo / Tasa de mortalidad;Crecimiento vegetativo;Crecimiento migratorio / Tasa de inmigración;Crecimiento migratorio / Tasa de emigración;Crecimiento migratorio / Migración neta
2018;06. Tetuán;161.313;11,52;69,43;19,05;7,05;60,51;53,38;112,86;43,99;-;8,96;8,14;0,82;75,96;38,01;37,95
2018;07. Chamberí;140.866;10,68;65,29;24,03;8,54;44,43;45,20;109,77;46,27;-;8,31;9,87;-1,56;70,83;34,70;36,13
2018;08. Fuencarral-El Pardo;249.973;17,88;61,25;20,87;6,14;85,69;64,19;90,05;42,99;-;9,90;7,35;2,55;43,57;30,17;13,40
2018;09. Moncloa-Aravaca;121.683;14,32;63,87;21,81;7,49;65,64;67,10;91,75;44,57;-;7,72;8,92;-1,19;56,76;33,18;23,58
2018;10. Latina;242.139;12,27;63,37;24,35;8,91;50,40;59,25;95,79;46,41;-;7,12;9,01;-1,89;56,98;32,61;24,37
2018;11. Carabanchel;260.196;14,54;66,66;18,80;6,98;77,35;69,75;89,37;43,33;-;8,23;7,76;0,47;69,58;36,73;32,85
2018;12. Usera;142.894;15,21;68,09;16,69;6,54;91,15;79,97;91,43;42,24;-;8,44;7,71;0,74;67,22;36,72;30,50
2018;13. Puente de Vallecas;240.867;13,73;68,72;17,55;6,69;78,25;64,39;100,78;43,13;-;8,58;7,83;0,75;66,30;35,35;30,96
2018;14. Moratalaz;95.614;11,57;62,47;25,96;10,22;44,55;58,44;94,77;47,65;-;6,53;9,57;-3,04;40,94;25,08;15,87
2018;15. Ciudad Lineal;219.867;12,51;64,83;22,65;8,58;55,25;57,66;96,95;45,78;-;7,30;8,39;-1,09;57,68;31,72;25,96
2018;16. Hortaleza;193.264;17,66;63,82;18,52;5,65;95,37;73,38;91,37;42,37;-;9,40;6,62;2,79;48,36;31;17,37
