AÑO;DISTRITO;   Esperanza de vida Menos de 1 año;   Esperanza de vida  1 a 4 años;    Esperanza de vida 5 a 9 años;    Esperanza de vida 10 a 14 años;     Esperanza de vida 15 a 19 años;    Esperanza de vida 20 a 24 años;     Esperanza de vida 25 a 29 años;    Esperanza de vida 30 a 34 años;   Esperanza de vida  35 a 39 años;    Esperanza de vida 40 a 44 años;     Esperanza de vida 45 a 49 años;  Esperanza de vida   50 a 54 años;     Esperanza de vida 55 a 59 años;Esperanza de vida     60 a 64 años;    Esperanza de vida 65 a 69 años;    Esperanza de vida 70 a 74 años;  Esperanza de vida   75 a 79 años;     Esperanza de vida 80 a 84 años;  Esperanza de vida   85 a 89 años;    Esperanza de vida 90 a 94 años;   Esperanza de vida  95 y más años
2021;14. Moratalaz;86,1;85,2;81,2;76,2;71,2;66,2;61,2;56,3;51,3;46,4;41,5;36,8;32;27,8;23,5;19,3;15,5;11,5;8,2;5,4;3,3
2021;15. Ciudad Lineal;86,6;85,7;81,7;76,8;71,8;66,8;61,8;56,8;51,9;46,9;42;37,2;32,8;28,2;23,8;19,5;15,4;11,6;8,4;5,6;3,4
2021;16. Hortaleza;85,9;85;81,1;76,1;71,1;66,1;61,2;56,2;51,3;46,3;41,4;36,6;32;27,4;23,1;19;15,1;11,2;7,9;5,3;3
2021;17. Villaverde;84,7;84;80;75;70,1;65,1;60,2;55,3;50,3;45,4;40,6;35,8;31,2;26,7;22,6;18,6;14,8;11,1;7,8;5,2;3
2021;18. Villa de Vallecas;84,3;83,4;79,4;74,4;69,4;64,4;59,5;54,5;49,6;44,7;39,8;35,1;30,5;26;21,9;17,9;13,8;10,6;7,4;4,8;3,2
2021;19. Vicálvaro;84,7;84;80;75;70;65;60,3;55,3;50,5;45,6;40,8;36;31,3;26,9;22,9;18,8;15;11,4;8;5,2;3,1
2021;20. San Blas-Canillejas;84,8;83,9;79,9;75;70;65,1;60,1;55,1;50,2;45,4;40,5;35,8;31,1;26,6;22,5;18,3;14,5;11;8,1;5,5;3,4
2021;21. Barajas;85,8;84,8;80,8;75,8;70,9;66,1;61,1;56,1;51,2;46,4;41,4;36,5;31,9;27,4;22,9;18,7;14,7;10,9;7,4;4,9;3,5
2018;Ciudad de Madrid;82,4;81,6;77,6;72,6;67,6;62,7;57,7;52,8;47,9;43;38,2;33,4;28,8;24,5;20,3;16,3;12,6;9,3;6,5;4,4;2,8
2018;01. Centro;82,7;81,8;77,8;72,8;67,8;62,9;58;53,1;48,1;43,2;38,3;33,7;29,1;24,7;20,4;16,5;12,9;9,5;6,8;4,4;2,9
2018;02. Arganzuela;82,4;81,7;77,7;72,7;67,7;62,9;57,9;53;48;43,1;38,1;33,3;28,8;24,2;20;15,9;12,2;8,8;6,3;4,2;2,9
2018;03. Retiro;83,5;82,6;78,6;73,6;68,6;63,8;58,9;53,9;48,9;44,1;39,3;34,4;29,8;25,2;20,9;16,9;12,9;9,3;6,5;4,4;2,8
2018;04. Salamanca;83,8;82,8;78,8;73,9;68,9;63,9;58,9;54;49;44,1;39,2;34,4;29,6;25;20,8;17;13,3;9,9;6,9;4,4;2,7
2018;05. Chamartín;83;82,3;78,3;73,3;68,4;63,4;58,4;53,5;48,5;43,6;38,7;34,1;29,4;25;20,7;16,8;13;9,3;6,7;4,7;2,9
2018;06. Tetuán;81,5;80,8;76,8;71,8;66,8;61,8;56,9;51,9;47;42,1;37,3;32,7;28,1;23,7;19,7;15,8;12,2;8,8;6,2;4,5;3
2018;07. Chamberí;83,7;83;79;74;69,1;64,1;59,2;54,2;49,3;44,4;39,6;34,8;30,1;25,6;21,5;17,3;13,3;9,8;7;4,7;2,9
2018;08. Fuencarral-El Pardo;82,7;81,7;77,7;72,8;67,8;62,8;57,9;53,1;48,2;43,3;38,5;33,7;29,1;24,7;20,4;16,2;12,4;8,9;6,3;4,2;2,9
