AÑO;DISTRITO;BARRIO;Num nuevos vecinos
2018;08. Fuencarral-El Pardo;088. El Goloso;1.183
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;5.693
2018;09. Moncloa-Aravaca;091. Casa de Campo;559
2018;09. Moncloa-Aravaca;092. Argüelles;1.217
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;769
2018;09. Moncloa-Aravaca;094. Valdezarza;1.543
2018;09. Moncloa-Aravaca;095. Valdemarín;309
2018;09. Moncloa-Aravaca;096. El Plantío;131
2018;09. Moncloa-Aravaca;097. Aravaca;1.165
2018;10. Latina;10. Latina;
2018;10. Latina;10. Latina;12.260
2018;10. Latina;101. Los Cármenes;870
2018;10. Latina;102. Puerta del Ángel;2.530
2018;10. Latina;103. Lucero;2.021
2018;10. Latina;104. Aluche;3.376
2018;10. Latina;105. Campamento;1.060
2018;10. Latina;106. Cuatro Vientos;315
2018;10. Latina;107. Águilas;2.088
2018;11. Carabanchel;11. Carabanchel;
2018;11. Carabanchel;11. Carabanchel;16.108
2018;11. Carabanchel;111. Comillas;1.390
2018;11. Carabanchel;112. Opañel;2.260
2018;11. Carabanchel;113. San Isidro;2.470
2018;11. Carabanchel;114. Vista Alegre;2.931
2018;11. Carabanchel;115. Puerta Bonita;2.566
2018;11. Carabanchel;116. Buenavista;2.590
2018;11. Carabanchel;117. Abrantes;1.901
2018;12. Usera;12. Usera;
2018;12. Usera;12. Usera;9.426
2018;12. Usera;121. Orcasitas;945
2018;12. Usera;122. Orcasur;779
2018;12. Usera;123. San Fermín;1.288
2018;12. Usera;124. Almendrales;2.120
2018;12. Usera;125. Moscardó;1.924
2018;12. Usera;126. Zofío;966
2018;12. Usera;127. Pradolongo;1.404
2018;13. Puente de Vallecas;13. Puente de Vallecas;
2018;13. Puente de Vallecas;13. Puente de Vallecas;14.734
2018;13. Puente de Vallecas;131. Entrevías;1.929
2018;13. Puente de Vallecas;132. San Diego;3.894
2018;13. Puente de Vallecas;133. Palomeras Bajas;1.904
2018;13. Puente de Vallecas;134. Palomeras Sureste;2.163
2018;13. Puente de Vallecas;135. Portazgo;1.598
2018;13. Puente de Vallecas;136. Numancia;3.246
2018;14. Moratalaz;14. Moratalaz;
2018;14. Moratalaz;14. Moratalaz;3.764
2018;14. Moratalaz;141. Pavones;328
2018;14. Moratalaz;142. Horcajo;190
2018;14. Moratalaz;143. Marroquina;830
2018;14. Moratalaz;144. Media Legua;753
2018;14. Moratalaz;145. Fontarrón;939
2018;14. Moratalaz;146. Vinateros;724
2018;15. Ciudad Lineal;15. Ciudad Lineal;
2018;15. Ciudad Lineal;15. Ciudad Lineal;11.371
2018;15. Ciudad Lineal;151. Ventas;2.781
2018;15. Ciudad Lineal;152. Pueblo Nuevo;3.543
2018;15. Ciudad Lineal;153. Quintana;1.431
2018;15. Ciudad Lineal;154. Concepción;1.098
2018;15. Ciudad Lineal;155. San Pascual;702
2018;15. Ciudad Lineal;156. San Juan Bautista;525
2018;15. Ciudad Lineal;157. Colina;317
2018;15. Ciudad Lineal;158. Atalaya;78
2018;15. Ciudad Lineal;159. Costillares;896
2018;16. Hortaleza;16. Hortaleza;
2018;16. Hortaleza;16. Hortaleza;9.364
2018;16. Hortaleza;161. Palomas;338
2018;16. Hortaleza;162. Piovera;602
2018;16. Hortaleza;163. Canillas;1.690
2018;16. Hortaleza;164. Pinar del Rey;2.475
2018;16. Hortaleza;165. Apóstol Santiago;661
2018;16. Hortaleza;166. Valdefuentes;3.598
2018;17. Villaverde;17. Villaverde;
2018;17. Villaverde;17. Villaverde;9.669
2018;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;2.757
2018;17. Villaverde;172. San Cristóbal;1.307
2018;17. Villaverde;173. Butarque;1.546
2018;17. Villaverde;174. Los Rosales;2.002
2018;17. Villaverde;175. Ángeles;2.057
2018;18. Villa de Vallecas;18. Villa de Vallecas;
2018;18. Villa de Vallecas;18. Villa de Vallecas;6.805
2018;18. Villa de Vallecas;181. Casco Histórico de Vallecas;2.239
2018;18. Villa de Vallecas;182. Santa Eugenia;903
2018;18. Villa de Vallecas;183. Ensanche de Vallecas;3.663
2018;19. Vicálvaro;19. Vicálvaro;
2018;19. Vicálvaro;19. Vicálvaro;4.078
2018;19. Vicálvaro;191. Casco Histórico de Vicálvaro;1.724
2018;19. Vicálvaro;192. Valdebernardo;562
2018;19. Vicálvaro;193. Valderribas;523
2018;19. Vicálvaro;194. El Cañaveral;1.269
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;8.764
2018;20. San Blas-Canillejas;201. Simancas;1.780
2018;20. San Blas-Canillejas;202. Hellín;653
2018;20. San Blas-Canillejas;203. Amposta;655
2018;20. San Blas-Canillejas;204. Arcos;1.357
2018;20. San Blas-Canillejas;205. Rosas;979
2018;20. San Blas-Canillejas;206. Rejas;1.247
2018;20. San Blas-Canillejas;207. Canillejas;1.618
2018;20. San Blas-Canillejas;208. El Salvador;475
2018;21. Barajas;21. Barajas;
2018;21. Barajas;21. Barajas;2.658
2018;21. Barajas;211. Alameda de Osuna;794
2018;21. Barajas;212. Aeropuerto;90
2018;21. Barajas;213. Casco Histórico de Barajas;422
2018;21. Barajas;214. Timón;947
2018;21. Barajas;215. Corralejos;405
